stock,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
000698.SZ,0,0,4,1,6,3,6,13,24,55,24,40,33,9,3,1,0,1,0,0,9
000700.SZ,1,0,2,0,2,3,5,13,26,52,23,47,28,11,3,2,0,1,0,0,6
000701.SZ,5,2,0,3,2,8,16,16,27,41,19,36,28,14,10,7,3,1,0,0,16
000702.SZ,2,1,1,0,0,6,13,16,36,35,37,36,25,14,11,8,4,1,0,0,6
000703.SZ,0,0,1,2,0,4,8,15,19,52,55,43,18,8,8,3,1,5,0,0,0
000705.SZ,4,0,0,1,4,3,12,10,35,33,35,46,26,16,6,3,2,0,0,0,8
000707.SZ,2,2,4,3,6,11,8,16,28,32,18,37,26,15,13,15,4,4,2,0,8
000708.SZ,0,0,1,0,1,4,10,14,28,51,32,44,22,20,9,3,2,2,0,0,0
000709.SZ,0,0,0,1,2,3,6,14,20,41,30,47,24,6,5,3,0,0,1,0,3
000710.SZ,3,0,1,2,2,9,10,18,21,40,25,44,24,17,8,5,2,0,0,0,5
000711.SZ,5,4,2,0,3,5,10,24,33,42,29,37,26,10,5,3,3,0,0,0,22
000712.SZ,0,0,1,2,3,2,8,4,33,60,27,47,25,14,5,3,2,1,0,1,2
000713.SZ,3,1,1,1,1,2,11,14,29,35,39,57,24,14,2,5,3,3,1,0,2
000715.SZ,6,1,1,6,1,3,9,14,39,27,38,44,25,20,3,3,1,2,1,0,15
000716.SZ,10,0,2,4,3,4,14,19,27,22,17,52,21,14,9,6,2,0,1,0,28
000717.SZ,0,1,0,2,2,4,5,8,29,57,42,55,36,6,3,0,2,0,0,0,0
000718.SZ,0,0,1,1,2,5,10,15,24,59,35,54,34,7,5,5,0,2,0,0,2
000719.SZ,1,0,1,2,5,1,10,10,21,41,27,56,18,13,9,2,0,0,1,1,5
000720.SZ,1,0,1,1,0,5,9,14,19,53,42,52,24,11,4,5,1,1,1,0,3
000721.SZ,15,2,0,2,4,4,12,22,17,33,8,42,18,21,9,4,3,7,3,0,27
000722.SZ,8,2,2,2,10,5,9,22,24,37,12,38,24,17,10,7,5,1,1,0,20
000723.SZ,0,1,1,1,5,5,11,15,18,63,18,41,30,14,12,3,2,0,0,0,0
000725.SZ,0,0,0,0,1,2,1,10,25,61,32,48,17,10,3,2,1,0,0,1,0
000726.SZ,0,1,0,0,1,5,5,11,24,50,39,53,27,13,7,3,2,2,0,0,0
000727.SZ,1,1,0,1,0,2,10,14,32,45,24,36,29,12,2,3,2,0,0,0,3
000728.SZ,1,0,1,0,0,2,7,17,19,49,40,44,20,11,3,4,0,0,2,0,3
000729.SZ,0,0,0,2,1,5,9,20,29,36,20,50,25,10,9,8,5,1,2,0,3
000731.SZ,1,0,3,3,2,5,9,13,19,38,27,57,26,14,6,7,0,0,1,0,2
